Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,SexGroup,Surname,TicketShort,FamilySize,Alone,GroupID,FarePerHead,NumInGroup,GroupSurvived,GroupSurvivalRate,Prediction
0.0,3,"Braund, Mr. Owen Harris",1,22.0,1,0,A/5 21171,7.25,,S,Mr,1,Braund,A/5 211,2,False,Alone,3,1.0,0.0,0.0,0
1.0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38.0,1,0,PC 17599,71.2833,C85,C,Mrs,2,Cumings,PC 175,2,False,Alone,35,1.0,1.0,1.0,1
1.0,3,"Heikkinen, Miss. Laina",0,26.0,0,0,STON/O2. 3101282,7.925,,S,Miss,2,Heikkinen,STON/O2. 31012,1,True,Alone,7,1.0,1.0,1.0,1
1.0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35.0,1,0,113803,53.1,C123,S,Mrs,2,Futrelle,1138,2,False,Alone,26,1.0,1.0,1.0,1
0.0,3,"Allen, Mr. William Henry",1,35.0,0,0,373450,8.05,,S,Mr,1,Allen,3734,1,True,Alone,8,1.0,0.0,0.0,0
0.0,3,"Moran, Mr. James",1,26.0,0,0,330877,8.4583,,Q,Mr,1,Moran,3308,1,True,Alone,8,1.0,0.0,0.0,0
0.0,1,"McCarthy, Mr. Timothy J",1,54.0,0,0,17463,51.8625,E46,S,Mr,1,McCarthy,174,1,True,Alone,51,1.0,0.0,0.0,0
0.0,3,"Palsson, Master. Gosta Leonard",1,2.0,3,1,349909,21.075,,S,Master,0,Palsson,3499,5,False,Palsson-3-3499-21.075-S,4,4.0,0.0,0.0,0
1.0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,27.0,0,2,347742,11.1333,,S,Mrs,2,Johnson,3477,3,False,Johnson-3-3477-11.1333-S,3,3.0,3.0,1.0,1
1.0,2,"Nasser, Mrs. Nicholas (Adele Achem)",0,14.0,1,0,237736,30.0708,,C,Mrs,2,Nasser,2377,2,False,Alone,15,1.0,1.0,1.0,1
1.0,3,"Sandstrom, Miss. Marguerite Rut",0,4.0,1,1,PP 9549,16.7,G6,S,Miss,2,Sandstrom,PP 95,3,False,Sandstrom-3-PP 95-16.7-S,5,2.0,2.0,1.0,1
1.0,1,"Bonnell, Miss. Elizabeth",0,58.0,0,0,113783,26.55,C103,S,Miss,2,Bonnell,1137,1,True,Alone,26,1.0,1.0,1.0,1
0.0,3,"Saundercock, Mr. William Henry",1,20.0,0,0,A/5. 2151,8.05,,S,Mr,1,Saundercock,A/5. 21,1,True,Alone,8,1.0,0.0,0.0,0
0.0,3,"Andersson, Mr. Anders Johan",1,39.0,1,5,347082,31.275,,S,Mr,1,Andersson,3470,7,False,Alone,4,1.0,0.0,0.0,0
0.0,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,14.0,0,0,350406,7.8542,,S,Miss,2,Vestrom,3504,1,True,Alone,7,1.0,0.0,0.0,1
1.0,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,55.0,0,0,248706,16.0,,S,Mrs,2,Hewlett,2487,1,True,Alone,16,1.0,1.0,1.0,1
0.0,3,"Rice, Master. Eugene",1,2.0,4,1,382652,29.125,,Q,Master,0,Rice,3826,6,False,Rice-3-3826-29.125-Q,4,5.0,0.0,0.0,0
